Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP010361,Female,No,0,Not Graduate,Yes,2853,7750,25,84,1,Semiurban,N
LP010362,,,0,Not Graduate,,5042,500,125,180,0,Urban,Y
LP010363,Female,,0,Graduate,No,10000,1030,97,60,1,Semiurban,Y
LP010364,Female,No,2,Graduate,No,2301,4983,94,360,1,Rural,Y
LP010365,,Yes,3,Not Graduate,No,4583,5750,187,480,,Urban,Y
LP010366,Female,No,0,Graduate,Yes,1000,3806,80,240,,Semiurban,Y
LP010367,Female,,0,Not Graduate,Yes,10000,1030,133,84,,Rural,Y
LP010368,,No,1,Not Graduate,No,3846,4595,436,480,,Rural,N
LP010369,Female,Yes,2,Graduate,,2491,5701,85,60,1,Urban,N
LP010370,,,0,Graduate,,2178,1300,67,360,0,Semiurban,N
LP010371,Female,No,1,Graduate,No,5266,1964,267,60,,Urban,N
LP010372,,Yes,,Graduate,,150,2142,35,300,1,Rural,Y
LP010373,,,0,Not Graduate,No,4950,1330,70,300,,Urban,Y
LP010374,Female,Yes,0,Graduate,,3029,983,80,240,1,Semiurban,N
LP010375,Female,,1,Graduate,No,3073,4866,67,84,,Rural,Y
LP010376,Female,No,2,Not Graduate,,2071,3750,30,84,0,Urban,N
LP010377,Male,Yes,0,Graduate,Yes,2147,1330,330,,,Urban,Y
LP010378,Male,,,Graduate,No,3189,1083,330,240,0,Urban,Y
LP010379,Male,Yes,0,Graduate,No,2875,4983,275,240,,Urban,N
LP010380,,Yes,,Graduate,,1928,1030,490,360,,Urban,Y
LP010381,Female,No,3,Not Graduate,No,5042,6000,228,300,,Rural,N
LP010382,,Yes,3,Not Graduate,No,2950,5063,125,84,1,Rural,N
LP010383,Male,,,Graduate,No,4300,4300,30,60,1,Semiurban,N
LP010384,Female,,2,Graduate,Yes,2237,4595,17,240,0,Urban,Y
LP010385,,,0,Not Graduate,Yes,2666,5063,330,180,0,Semiurban,Y
LP010386,Female,,0,Graduate,,2014,4595,88,120,1,Rural,N
LP010387,,No,3,Graduate,Yes,2853,3750,106,84,0,Urban,Y
LP010388,Female,Yes,,Graduate,,2266,3600,70,84,0,Semiurban,N
LP010389,Male,No,0,Graduate,Yes,2266,985,176,180,1,Urban,N
LP010390,Male,Yes,0,Graduate,,2275,3500,67,84,1,Urban,Y
LP010391,Female,Yes,2,Graduate,Yes,6080,2500,125,180,1,Semiurban,N
LP010392,,Yes,1,Graduate,Yes,3366,3750,133,120,1,Rural,Y
LP010393,Male,No,3,Graduate,,3073,3806,228,,,Semiurban,Y
LP010394,Male,Yes,3,Graduate,No,5042,736,300,360,1,Semiurban,Y
LP010395,Male,No,1,Not Graduate,No,13650,2583,93,120,0,Semiurban,N
LP010396,Female,,0,Not Graduate,Yes,2395,2750,30,480,,Urban,N
LP010397,Female,,2,Not Graduate,,2479,6000,136,,,Rural,Y
LP010398,,Yes,2,Graduate,No,5000,3263,114,360,0,Rural,Y
LP010399,,No,3,Graduate,,2483,1640,180,300,,Urban,N
LP010400,,,2,Not Graduate,No,2833,4595,109,180,0,Rural,Y
LP010401,Female,No,1,Graduate,,4166,4000,136,240,,Semiurban,Y
LP010402,Female,No,0,Not Graduate,Yes,3600,1843,17,480,,Rural,N
LP010403,,Yes,1,Graduate,,3600,3066,100,120,0,Urban,N
LP010404,,,,Not Graduate,No,4583,3449,50,84,0,Rural,N
LP010405,Female,Yes,3,Not Graduate,Yes,5417,4167,137,120,0,Urban,Y
LP010406,,Yes,2,Not Graduate,,4166,4196,63,360,0,Semiurban,N
LP010407,Male,,,Graduate,No,8000,1843,94,480,1,Urban,N
LP010408,Female,,2,Not Graduate,Yes,2183,4983,70,60,1,Rural,N
LP010409,,No,0,Graduate,,2237,4595,308,360,0,Semiurban,N
LP010410,Female,,0,Graduate,No,3083,5266,255,,1,Rural,N
LP010411,Male,No,0,Graduate,,4583,5701,124,120,0,Urban,N
LP010412,Female,No,2,Graduate,,3666,2250,210,120,0,Semiurban,N
LP010413,Female,No,,Graduate,Yes,9323,1800,59,480,,Urban,Y
LP010414,Female,,0,Graduate,Yes,5166,2133,88,180,0,Rural,N
LP010415,Female,Yes,,Graduate,No,5667,1843,158,480,0,Urban,Y
LP010416,Male,No,2,Not Graduate,Yes,2479,4196,76,240,0,Rural,Y
LP010417,Female,Yes,,Not Graduate,No,2383,4417,308,120,0,Rural,N
LP010418,Female,Yes,2,Not Graduate,,5166,1083,58,180,,Semiurban,Y
LP010419,,,2,Graduate,,4843,0,75,180,0,Semiurban,N
LP010420,Female,Yes,3,Graduate,No,2395,1250,152,480,,Urban,Y
LP010421,,Yes,2,Graduate,,3333,3750,67,300,0,Rural,N
LP010422,Male,,2,Graduate,Yes,2301,2083,133,360,,Rural,Y
LP010423,Male,No,1,Not Graduate,,7451,3449,47,,1,Semiurban,N
LP010424,Male,Yes,0,Graduate,Yes,2237,4196,300,300,,Semiurban,N
LP010425,Male,,3,Not Graduate,No,2483,5250,136,120,,Semiurban,Y
LP010426,,Yes,3,Graduate,No,2395,1330,109,120,0,Semiurban,Y
LP010427,Female,Yes,3,Not Graduate,,2833,4300,187,120,,Urban,N
LP010428,Male,No,1,Graduate,,2799,1459,700,84,,Urban,Y
LP010429,Female,Yes,2,Not Graduate,Yes,20166,2531,90,60,0,Urban,N
LP010430,,,0,Graduate,Yes,2333,6250,63,60,1,Urban,Y
LP010431,,Yes,,Not Graduate,,3000,1666,120,180,1,Semiurban,N
LP010432,,No,2,Graduate,,2071,4866,70,120,1,Urban,Y
LP010433,Male,No,1,Not Graduate,No,7451,1330,96,240,,Urban,N
LP010434,Female,,2,Not Graduate,No,3846,2416,201,,0,Urban,Y
LP010435,Female,No,2,Graduate,No,3846,4750,133,480,1,Semiurban,N
LP010436,Female,Yes,1,Not Graduate,,2178,6000,44,,1,Rural,Y
LP010437,,No,3,Graduate,,5000,1666,192,240,1,Semiurban,N
LP010438,Male,,3,Graduate,,2439,3600,182,480,1,Rural,Y
LP010439,,No,0,Graduate,No,5316,2791,315,180,0,Rural,Y
LP010440,,No,0,Not Graduate,,2583,4983,150,240,1,Urban,N
LP010441,Female,No,3,Not Graduate,Yes,2799,983,93,120,,Urban,Y
LP010442,,,,Graduate,,5316,688,47,240,,Urban,Y
LP010443,Female,No,2,Graduate,,2483,800,74,120,0,Semiurban,N
LP010444,Male,No,,Not Graduate,,6747,2330,155,240,1,Semiurban,N
LP010445,Female,Yes,2,Not Graduate,,2491,2500,700,240,1,Urban,N
LP010446,Male,,3,Not Graduate,,3200,983,66,300,,Semiurban,N
LP010447,Female,No,0,Graduate,Yes,13650,1451,208,,0,Semiurban,Y
LP010448,,,0,Graduate,Yes,4950,1083,30,60,,Rural,Y
LP010449,,No,,Graduate,,3500,2667,165,300,0,Semiurban,Y
LP010450,Male,No,0,Graduate,No,2799,2531,166,60,0,Rural,N
LP010451,Male,No,3,Graduate,,3846,1800,160,300,0,Urban,Y
LP010452,Male,Yes,,Not Graduate,,11000,2791,47,84,,Semiurban,Y
LP010453,Female,Yes,2,Graduate,,3200,1500,78,480,0,Rural,N
LP010454,Female,Yes,0,Not Graduate,No,2718,736,76,120,,Semiurban,Y
LP010455,Male,,1,Not Graduate,No,2439,5250,255,300,,Rural,Y
LP010456,,,0,Graduate,No,2645,0,312,300,1,Rural,N
LP010457,Female,Yes,2,Not Graduate,Yes,3800,5063,118,180,,Semiurban,Y
LP010458,Female,,,Graduate,No,5042,2583,200,240,,Urban,N
LP010459,Female,No,2,Not Graduate,Yes,3250,1330,30,84,1,Rural,N
LP010460,Male,No,1,Graduate,Yes,13650,1213,192,480,1,Urban,Y
LP010461,Male,No,3,Graduate,No,15000,4300,112,360,1,Semiurban,Y
LP010462,Male,Yes,0,Not Graduate,No,2000,983,180,300,0,Semiurban,Y
LP010463,Male,,,Graduate,No,3000,2791,210,360,0,Urban,N
LP010464,Male,Yes,3,Not Graduate,Yes,5166,2330,120,60,1,Semiurban,N
LP010465,,,2,Graduate,,2132,1459,436,240,0,Rural,Y
LP010466,,No,,Graduate,No,2666,1666,320,360,1,Urban,Y
LP010467,Male,Yes,3,Graduate,No,2060,3500,255,60,0,Semiurban,N
LP010468,Female,,,Not Graduate,No,2927,2133,165,84,,Semiurban,Y
LP010469,Male,,1,Not Graduate,Yes,2183,1459,116,,0,Urban,Y
LP010470,,No,1,Graduate,Yes,5667,1929,166,120,0,Rural,N
LP010471,,Yes,0,Not Graduate,,2583,3167,140,300,,Urban,Y
LP010472,Female,Yes,0,Graduate,No,3846,4866,228,360,1,Semiurban,Y
LP010473,,Yes,1,Not Graduate,Yes,5166,4486,225,,0,Semiurban,Y
LP010474,Male,No,,Not Graduate,,2799,4167,187,240,0,Urban,Y
LP010475,Female,Yes,1,Graduate,No,4000,2583,210,180,,Rural,N
LP010476,Male,No,0,Graduate,Yes,2473,1213,110,84,,Rural,N
LP010477,Male,No,1,Graduate,No,2200,2667,35,120,,Rural,N
LP010478,Female,No,1,Graduate,No,2266,1590,25,240,,Urban,N
LP010479,Male,,,Graduate,Yes,2132,5266,650,84,1,Rural,Y
LP010480,,Yes,3,Not Graduate,Yes,2577,2083,120,180,0,Rural,Y
LP010481,Male,Yes,0,Not Graduate,Yes,3052,4595,176,60,0,Rural,Y
LP010482,Female,No,,Graduate,No,3200,900,180,180,0,Rural,Y
LP010483,Female,No,1,Graduate,No,2483,1083,210,360,0,Semiurban,N
LP010484,Female,Yes,1,Graduate,,3416,3806,285,120,1,Urban,Y
LP010485,Male,No,3,Not Graduate,No,2833,900,201,480,0,Urban,Y
LP010486,Female,Yes,0,Graduate,Yes,3416,1929,160,300,1,Rural,N
LP010487,Female,,0,Graduate,No,6080,6250,17,300,1,Urban,N
LP010488,Male,No,2,Not Graduate,,2479,2500,75,60,,Urban,N
LP010489,,Yes,0,Not Graduate,,2383,4000,74,240,,Semiurban,Y
LP010490,Male,No,3,Not Graduate,Yes,3666,4595,58,120,0,Urban,N
LP010491,Female,Yes,2,Not Graduate,Yes,2237,5750,139,60,1,Semiurban,Y
LP010492,Female,Yes,2,Graduate,,4950,4983,200,480,,Urban,Y
LP010493,Male,No,1,Not Graduate,,8666,985,154,360,1,Semiurban,N
LP010494,,,1,Not Graduate,,1928,1800,58,360,,Semiurban,N
LP010495,Female,Yes,0,Graduate,Yes,10513,4300,66,180,1,Urban,N
LP010496,Female,Yes,2,Graduate,,12841,2045,115,300,0,Semiurban,Y
LP010497,Female,Yes,1,Graduate,,4000,5625,72,,0,Semiurban,Y
LP010498,Male,,3,Not Graduate,Yes,7100,1500,175,120,1,Urban,Y
LP010499,Female,,1,Graduate,No,5786,4983,208,,,Semiurban,N
LP010500,,No,1,Not Graduate,No,20166,4167,63,180,,Semiurban,Y
LP010501,Female,,2,Not Graduate,,2183,1590,55,240,0,Semiurban,Y
LP010502,Female,No,2,Not Graduate,No,2132,5750,141,360,0,Semiurban,Y
LP010503,,No,,Graduate,No,1977,700,490,300,0,Semiurban,Y
LP010504,Female,,3,Not Graduate,No,3625,2791,47,480,,Rural,N
LP010505,Male,No,2,Graduate,No,10000,2791,139,480,,Semiurban,Y
LP010506,Male,,0,Graduate,,2275,700,80,480,0,Semiurban,N
LP010507,Male,No,3,Graduate,No,5266,5063,113,120,1,Semiurban,N
LP010508,,,3,Not Graduate,No,2645,2667,650,300,,Semiurban,Y
LP010509,Female,,2,Not Graduate,Yes,11000,3806,192,360,0,Urban,Y
LP010510,Male,No,3,Not Graduate,,2014,2250,104,,1,Rural,N
LP010511,,Yes,2,Graduate,Yes,2266,1800,150,180,,Urban,Y
LP010512,Female,No,1,Not Graduate,Yes,2583,2750,78,240,1,Rural,N
LP010513,,,,Not Graduate,,3189,2531,187,480,1,Semiurban,Y
LP010514,Male,Yes,1,Not Graduate,No,3000,5250,98,60,,Semiurban,Y
LP010515,Male,No,2,Not Graduate,Yes,5166,2133,275,300,0,Rural,N
LP010516,Male,No,2,Not Graduate,,3167,3500,114,180,1,Rural,Y
LP010517,,No,1,Graduate,No,1928,3022,70,240,0,Urban,N
LP010518,,Yes,0,Graduate,,13650,1666,700,240,,Rural,N
LP010519,Male,,0,Graduate,Yes,2400,3022,267,84,1,Semiurban,Y
LP010520,,No,0,Graduate,No,2875,1213,110,480,1,Urban,N
LP010521,Male,No,2,Not Graduate,No,2718,4417,120,84,1,Rural,Y
LP010522,Male,No,3,Graduate,,3000,1250,58,180,1,Rural,Y
LP010523,Female,No,2,Not Graduate,No,10000,4300,152,240,1,Urban,Y
LP010524,,No,3,Graduate,Yes,2875,2416,80,60,,Rural,N
LP010525,Male,,1,Graduate,Yes,3029,4595,350,300,1,Semiurban,Y
LP010526,Male,,,Graduate,Yes,8333,4486,133,84,,Urban,Y
LP010527,,No,3,Not Graduate,,6747,1459,80,240,0,Rural,N
LP010528,Female,Yes,0,Not Graduate,No,3167,3500,109,300,,Semiurban,N
LP010529,Female,,2,Graduate,No,6400,2416,94,480,1,Rural,N
LP010530,Male,Yes,1,Not Graduate,No,4166,5063,192,,0,Urban,N
LP010531,,,0,Graduate,Yes,2014,736,99,300,,Rural,Y
LP010532,Female,No,1,Graduate,No,5316,2900,17,240,,Rural,Y
LP010533,,,,Graduate,Yes,5000,7750,75,180,,Rural,Y
LP010534,,No,2,Not Graduate,No,13650,1868,58,84,1,Semiurban,Y
LP010535,Male,,2,Graduate,Yes,5266,3500,290,84,1,Semiurban,N
LP010536,Female,No,,Graduate,No,5000,6250,122,360,,Rural,N
LP010537,Male,No,2,Graduate,,5316,4167,490,240,,Rural,Y
LP010538,Female,No,3,Not Graduate,,3029,830,175,360,0,Urban,N
LP010539,Female,No,1,Graduate,Yes,2395,754,99,60,1,Rural,N
LP010540,Female,Yes,0,Not Graduate,Yes,5316,6250,122,60,1,Urban,N
LP010541,Female,No,,Graduate,No,2708,2330,58,240,0,Semiurban,N
LP010542,Female,Yes,3,Not Graduate,No,8666,736,97,84,,Rural,N
LP010543,,Yes,0,Graduate,,3416,7210,290,480,,Urban,Y
LP010544,Male,No,0,Graduate,No,2237,3500,112,120,0,Semiurban,Y
LP010545,,Yes,,Not Graduate,Yes,7333,736,155,60,,Urban,N
LP010546,Female,,3,Not Graduate,Yes,6250,4300,17,84,,Semiurban,N
LP010547,Male,No,0,Graduate,Yes,5316,1666,44,360,0,Rural,Y
LP010548,Female,Yes,0,Not Graduate,Yes,5316,1300,165,300,0,Urban,Y
LP010549,Male,No,3,Graduate,Yes,3416,2583,650,480,0,Rural,N
LP010550,,No,2,Graduate,,2439,3369,109,360,,Urban,N
LP010551,Male,No,0,Graduate,,3846,1300,168,480,0,Semiurban,N
LP010552,Male,Yes,1,Not Graduate,Yes,2000,1213,228,120,,Urban,Y
LP010553,Male,,3,Graduate,No,7100,1640,200,300,1,Urban,N
LP010554,Male,,0,Not Graduate,Yes,5316,1843,376,360,1,Rural,N
LP010555,Male,Yes,,Graduate,,3416,1083,88,60,0,Rural,N
LP010556,Female,No,1,Not Graduate,Yes,5000,1451,35,60,,Rural,N
LP010557,Male,Yes,0,Not Graduate,,12000,7750,228,360,,Semiurban,N
LP010558,Male,Yes,1,Graduate,,2132,4866,320,120,,Rural,N
LP010559,,Yes,1,Not Graduate,Yes,6400,3167,180,120,0,Urban,N
LP010560,Male,No,2,Graduate,Yes,2147,1500,90,240,,Semiurban,N
LP010561,,Yes,1,Graduate,No,11000,1459,201,300,,Rural,Y
LP010562,Female,No,2,Graduate,,2500,736,650,84,,Urban,Y
LP010563,Male,Yes,3,Graduate,No,2183,1868,50,120,1,Urban,Y
LP010564,,,2,Graduate,Yes,2340,3600,67,300,,Semiurban,N
LP010565,,Yes,,Not Graduate,,2479,2750,180,120,1,Urban,Y
LP010566,Female,Yes,0,Graduate,No,3625,5750,118,240,,Rural,Y
LP010567,Male,,3,Not Graduate,No,2071,2791,150,,,Urban,Y
LP010568,Male,No,3,Not Graduate,No,3625,1459,109,120,,Rural,Y
LP010569,,No,,Graduate,Yes,3000,3022,70,300,1,Rural,Y
LP010570,Male,Yes,2,Not Graduate,Yes,2178,4167,275,240,,Semiurban,N
LP010571,,,0,Graduate,Yes,3846,500,192,240,0,Urban,Y
LP010572,Male,No,2,Not Graduate,,5786,3600,490,300,,Semiurban,N
LP010573,,Yes,1,Not Graduate,Yes,11000,3066,94,300,1,Semiurban,N
LP010574,Male,,2,Not Graduate,,2853,3369,110,60,1,Semiurban,Y
LP010575,Female,No,3,Graduate,No,1928,1300,312,,0,Rural,N
LP010576,Male,No,0,Not Graduate,No,12841,4983,187,240,0,Rural,Y
LP010577,Male,,2,Graduate,Yes,2060,3449,210,60,0,Rural,N
LP010578,Female,,0,Not Graduate,No,6400,1030,90,480,1,Rural,N
LP010579,Male,,0,Not Graduate,Yes,2178,7750,176,360,,Urban,Y
LP010580,Female,,1,Not Graduate,,5417,0,330,360,,Urban,N
LP010581,Male,Yes,1,Not Graduate,No,5667,3333,35,240,0,Rural,N
LP010582,,,3,Graduate,Yes,3500,1964,700,60,0,Rural,N
LP010583,,No,,Graduate,No,3052,2853,240,,,Urban,N
LP010584,Male,No,0,Not Graduate,No,3666,1843,490,,0,Semiurban,N
LP010585,Male,Yes,,Not Graduate,Yes,3625,983,370,480,,Semiurban,N
LP010586,Male,No,3,Graduate,No,3052,2416,201,240,,Rural,N
LP010587,,No,0,Graduate,No,3083,5654,300,120,,Semiurban,N
LP010588,Male,,0,Graduate,No,2500,3167,74,480,,Rural,Y
LP010589,,No,,Graduate,No,2479,2133,78,60,1,Rural,N
LP010590,Female,Yes,2,Not Graduate,,3500,1500,96,120,,Rural,Y
LP010591,,,1,Not Graduate,No,5266,4486,136,360,0,Urban,Y
LP010592,,,2,Graduate,No,2147,1800,76,180,0,Semiurban,N
LP010593,Female,Yes,,Graduate,Yes,6080,5654,152,360,0,Urban,N
LP010594,,,1,Graduate,,8666,700,120,240,0,Semiurban,Y
LP010595,Male,,2,Graduate,Yes,2333,4196,74,300,1,Urban,Y
LP010596,Male,Yes,1,Graduate,Yes,5417,4486,168,360,,Urban,Y
LP010597,,,0,Graduate,Yes,10000,5063,25,360,,Rural,N
LP010598,Male,Yes,2,Not Graduate,,12000,3806,144,360,0,Rural,N
LP010599,,Yes,1,Not Graduate,Yes,2927,2045,240,360,0,Urban,N
LP010600,Male,No,1,Not Graduate,Yes,3625,688,95,360,0,Semiurban,Y
LP010601,Male,No,1,Graduate,Yes,5500,1300,168,120,,Semiurban,N
LP010602,,,2,Graduate,No,4843,2791,44,120,1,Rural,N
LP010603,Male,,3,Graduate,Yes,2147,4000,83,360,1,Rural,N
LP010604,,Yes,2,Not Graduate,,2950,983,700,84,1,Semiurban,N
LP010605,Male,,,Graduate,,3750,2045,67,84,1,Semiurban,Y
LP010606,Male,Yes,2,Graduate,No,2950,1929,168,120,0,Semiurban,N
LP010607,Female,Yes,1,Not Graduate,,3333,3022,74,180,,Rural,N
LP010608,Female,,0,Graduate,,2875,4983,308,300,0,Semiurban,Y
LP010609,,Yes,2,Not Graduate,No,5166,6000,166,480,1,Rural,N
LP010610,Female,No,2,Not Graduate,Yes,2473,5750,99,360,0,Urban,Y
LP010611,,,1,Graduate,No,10513,1516,255,180,1,Urban,Y
LP010612,Female,No,0,Not Graduate,Yes,3625,3167,136,84,,Urban,N
LP010613,Male,,0,Graduate,Yes,7451,3600,240,84,1,Semiurban,Y
LP010614,,Yes,,Not Graduate,,3167,4866,152,180,0,Rural,N
LP010615,,,2,Graduate,No,3200,985,124,300,,Semiurban,Y
LP010616,Male,No,0,Not Graduate,,7333,688,137,120,1,Rural,Y
LP010617,,Yes,0,Graduate,,3366,754,165,300,1,Semiurban,N
LP010618,,,3,Not Graduate,Yes,6250,1666,210,240,,Urban,Y
LP010619,Female,,3,Not Graduate,,3846,4417,155,240,0,Rural,N
LP010620,,,0,Not Graduate,No,2301,3500,168,84,,Semiurban,N
LP010621,Male,No,,Graduate,,2266,3333,267,480,0,Rural,N
LP010622,Female,No,0,Graduate,,2500,3369,141,240,1,Rural,N
LP010623,Female,,1,Not Graduate,Yes,4950,983,150,84,1,Semiurban,Y
LP010624,Male,Yes,2,Graduate,No,2383,2531,350,360,,Semiurban,N
LP010625,Male,Yes,,Not Graduate,,2950,2416,187,,1,Rural,Y
LP010626,Female,No,1,Graduate,Yes,5000,3449,200,,,Rural,N
LP010627,,Yes,,Not Graduate,,13650,1083,308,60,1,Urban,Y
LP010628,Female,No,1,Graduate,No,3366,688,93,360,1,Rural,Y
LP010629,Male,,2,Not Graduate,,7200,6250,66,,0,Urban,Y
LP010630,Female,No,2,Not Graduate,,1625,2583,187,300,,Urban,Y
LP010631,Male,No,3,Not Graduate,Yes,3250,4000,124,60,,Urban,N
LP010632,Female,,1,Not Graduate,,3600,1516,125,84,1,Rural,N
LP010633,,Yes,3,Graduate,Yes,7451,1640,240,180,0,Urban,Y
LP010634,Female,No,1,Not Graduate,No,1928,3263,112,180,0,Rural,Y
LP010635,Female,No,3,Graduate,,2178,7210,81,84,,Rural,N
LP010636,Male,,2,Graduate,No,3029,736,70,480,,Semiurban,Y
LP010637,Male,Yes,,Not Graduate,No,3600,1459,25,84,1,Rural,Y
LP010638,Male,No,3,Graduate,,2147,6000,192,120,,Rural,N
LP010639,Female,,1,Graduate,Yes,3800,1843,184,180,1,Urban,Y
LP010640,,No,1,Graduate,No,2301,3066,100,,0,Rural,Y
LP010641,Male,,2,Not Graduate,No,12841,4000,47,60,,Rural,N
LP010642,Male,Yes,1,Graduate,,3200,2330,330,480,0,Semiurban,Y
LP010643,Female,Yes,0,Graduate,,2132,6000,110,240,0,Semiurban,N
LP010644,Male,Yes,,Not Graduate,,2600,4595,70,360,1,Urban,N
LP010645,,Yes,3,Not Graduate,,6080,5250,110,480,0,Urban,N
LP010646,,No,,Graduate,,6080,2045,55,240,1,Semiurban,N
LP010647,Male,No,2,Not Graduate,,4000,1640,225,480,1,Semiurban,Y
LP010648,Male,Yes,3,Graduate,Yes,2000,3806,67,480,0,Rural,N
LP010649,Female,Yes,3,Graduate,No,3052,983,114,,0,Urban,N
LP010650,,Yes,0,Graduate,Yes,3800,1083,350,84,1,Urban,Y
LP010651,,No,2,Not Graduate,Yes,8333,2791,152,120,1,Rural,N
LP010652,Male,Yes,1,Graduate,,3366,985,76,60,0,Rural,Y
LP010653,Female,Yes,0,Not Graduate,No,2400,2853,150,180,1,Urban,N
LP010654,,Yes,0,Not Graduate,Yes,5166,3066,285,240,1,Semiurban,N
LP010655,,,,Graduate,,1625,1516,112,60,,Semiurban,N
LP010656,Female,Yes,,Not Graduate,,4843,6250,99,480,,Rural,N
LP010657,Female,,,Not Graduate,No,6250,3750,308,84,,Urban,Y
LP010658,,,0,Not Graduate,Yes,3366,5266,175,60,,Rural,Y
LP010659,,Yes,1,Not Graduate,Yes,9323,3806,225,84,,Semiurban,Y
LP010660,Female,,3,Not Graduate,Yes,2147,2383,312,240,1,Semiurban,N
LP010661,,Yes,,Graduate,,15000,4417,90,,1,Rural,N
LP010662,Male,No,1,Not Graduate,No,24763,900,350,,,Semiurban,N
LP010663,Male,No,2,Graduate,No,5266,2383,152,84,0,Urban,Y
LP010664,Female,No,,Graduate,Yes,2479,3167,208,84,,Rural,N
LP010665,Female,No,3,Graduate,,2266,1451,100,120,0,Rural,Y
LP010666,Female,,2,Graduate,Yes,2645,2142,315,360,1,Rural,Y
LP010667,Male,Yes,2,Graduate,No,12841,2045,175,120,0,Semiurban,Y
LP010668,,Yes,3,Graduate,,5000,2900,97,60,1,Urban,N
LP010669,Male,Yes,,Not Graduate,Yes,2799,688,267,300,0,Rural,N
LP010670,,No,0,Not Graduate,Yes,2708,1800,104,120,1,Rural,N
LP010671,Male,No,3,Not Graduate,,2395,800,308,60,1,Semiurban,N
LP010672,,Yes,3,Graduate,No,1000,3369,182,180,,Urban,Y
LP010673,Male,No,3,Not Graduate,,2333,1459,128,60,1,Rural,Y
LP010674,Female,Yes,2,Not Graduate,Yes,2333,3583,114,60,,Semiurban,N
LP010675,Male,Yes,1,Not Graduate,Yes,6747,2416,136,84,,Rural,N
LP010676,,Yes,0,Graduate,Yes,2178,1964,255,480,,Semiurban,N
LP010677,Male,Yes,,Not Graduate,Yes,1977,3333,67,84,0,Urban,Y
LP010678,Male,Yes,,Graduate,No,2071,5250,330,84,0,Semiurban,N
LP010679,Male,Yes,1,Not Graduate,No,2439,800,98,480,1,Rural,Y
LP010680,Female,Yes,3,Graduate,Yes,2400,2083,113,300,,Rural,Y
LP010681,Male,No,0,Graduate,No,3083,3750,165,180,,Semiurban,Y
LP010682,Female,Yes,,Graduate,No,3750,1213,128,120,1,Urban,Y
LP010683,Female,Yes,,Not Graduate,No,3167,1083,312,60,,Urban,Y
LP010684,Male,No,3,Not Graduate,Yes,5786,2045,128,120,1,Rural,Y
LP010685,Male,No,1,Graduate,,2666,1843,158,,,Rural,Y
LP010686,Male,No,0,Not Graduate,,20166,1300,66,240,0,Semiurban,N
LP010687,,Yes,1,Graduate,,3800,2750,228,300,1,Semiurban,N
LP010688,Male,,1,Graduate,Yes,2200,3022,144,240,1,Semiurban,N
LP010689,Female,,0,Not Graduate,No,3666,2045,76,60,0,Urban,Y
LP010690,Male,No,0,Not Graduate,No,3083,3500,94,60,1,Urban,Y
LP010691,,,,Not Graduate,Yes,1977,5063,95,180,0,Rural,N
LP010692,Male,No,,Graduate,Yes,2071,5750,275,120,,Rural,Y
LP010693,,Yes,0,Graduate,,2718,4000,255,480,0,Rural,Y
LP010694,,,2,Not Graduate,,3250,4167,137,360,0,Semiurban,Y
LP010695,Male,Yes,,Graduate,Yes,5500,3167,74,360,1,Urban,Y
LP010696,Female,,2,Not Graduate,,2853,3369,225,480,,Rural,Y
LP010697,,Yes,0,Graduate,No,2875,1516,152,360,0,Rural,Y
LP010698,Male,,,Not Graduate,Yes,4166,2330,370,84,,Rural,Y
LP010699,Male,Yes,1,Not Graduate,Yes,2500,1083,58,180,0,Rural,Y
LP010700,Female,Yes,0,Graduate,No,2340,1213,93,300,1,Rural,Y
LP010701,,,3,Not Graduate,No,2600,2791,95,120,0,Rural,Y
LP010702,,Yes,2,Not Graduate,No,2000,4000,225,120,0,Urban,Y
LP010703,Male,Yes,0,Graduate,,20166,1800,109,300,,Rural,Y
LP010704,Male,Yes,0,Not Graduate,Yes,2266,2853,58,60,0,Urban,N
LP010705,Female,,,Graduate,,5166,4595,125,60,1,Semiurban,Y
LP010706,Female,,,Not Graduate,No,2060,0,228,240,1,Urban,Y
LP010707,,Yes,,Graduate,,3625,5701,136,60,0,Semiurban,N
LP010708,,Yes,3,Not Graduate,No,2200,3333,210,480,0,Urban,N
LP010709,Male,,,Not Graduate,,10000,3449,150,84,,Urban,N
LP010710,,,0,Not Graduate,,24763,2667,99,300,,Rural,Y
LP010711,Female,Yes,,Not Graduate,No,3666,4750,176,240,1,Urban,Y
LP010712,Female,Yes,1,Graduate,,6400,3806,150,180,,Urban,N
LP010713,Male,Yes,,Graduate,Yes,2383,1250,140,60,0,Rural,N
LP010714,Female,No,3,Graduate,,2060,983,74,120,1,Semiurban,N
LP010715,Female,,1,Graduate,,2275,3066,160,180,,Rural,Y
LP010716,Female,No,0,Graduate,Yes,2383,700,290,84,1,Rural,Y
LP010717,Female,,0,Graduate,No,2014,5750,490,84,0,Rural,N
LP010718,Male,,2,Graduate,Yes,3750,1516,144,84,,Semiurban,Y
LP010719,Male,,1,Not Graduate,,5000,2133,85,60,0,Urban,Y
LP010720,,,2,Not Graduate,No,3073,6000,75,84,0,Urban,N
LP010721,Female,,1,Not Graduate,,3625,4486,255,300,1,Rural,N
